slogan,subslogan
Amare Trento ci fa stare bene!,Lista civica a sostegno del candidato sindaco Franco Ianeselli
Ascoltare Trento ci fa stare bene!,Lista civica a sostegno del candidato sindaco Franco Ianeselli
Rispettare Trento ci fa stare bene!,Lista civica a sostegno del candidato sindaco Franco Ianeselli
Proteggere Trento ci fa stare bene!,Lista civica a sostegno del candidato sindaco Franco Ianeselli
Innovare Trento ci fa stare bene!,Lista civica a sostegno del candidato sindaco Franco Ianeselli
